RatID	date	start_time	boxid	EventType	vr10TO20	seconds
1569183275.837205	2019-09-22	15:14:35	Box1_S1	ACTIVE	19	12.252261638641357
1569183275.9058132	2019-09-22	15:14:35	Box1_S1	ACTIVE	19	12.320870637893677
1569183275.9744701	2019-09-22	15:14:35	Box1_S1	ACTIVE	19	12.3895263671875
1569183276.0424352	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.45749306678772
1569183276.110714	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.525771856307983
1569183276.1789951	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.59405255317688
1569183276.2471132	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.662170648574829
1569183276.315258	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.730313062667847
1569183276.382177	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.797234296798706
1569183276.4493885	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.864445686340332
1569183276.5165744	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.931632995605469
1569183276.5835023	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	12.998559474945068
1569183276.6504724	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	13.065528392791748
1569183276.7174692	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	13.13252592086792
1569183276.7843084	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	13.199365615844727
1569183276.851389	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	13.2664475440979
1569183276.9185312	2019-09-22	15:14:36	Box1_S1	ACTIVE	19	13.333589792251587
